provincia,municipio,id,link_2,"1869 total","1869 hombres","1869 mujeres","1881 total","1881 hombres","1881 mujeres","1895 total","1895 hombres","1895 mujeres","1914 total","1914 hombres","1914 mujeres","1947 total","1947 homres","1947 mujeres","1960 total","1960 hombres","1960 mujeres","1970 total","1970 hombres","1970 mujeres","1980 total","1980 hombres","1980 mujeres","1991 total","1991 hombres","1991 mujeres","2001 total","2001 hombres","2001 mujeres","2010 total","2010 hombres","2010 mujeres"
"Buenos Aires","Adolfo Alsina",1,1,,,,,,,4143,2419,1724,14880,8305,6575,22628,12173,10455,20908,11118,9790,20331,10605,9726,19485,9896,9589,18077,9041,9036,16245,8087,8158,17072,8405,8667
"Buenos Aires","Adolfo Gonzáles Chaves",2,2,,,,,,,,,,,,,13239,7230,6009,12799,6750,6049,13163,6782,6381,12808,6444,6364,12747,6382,6365,12037,5920,6117,12047,5909,6138
"Buenos Aires",Alberti,3,3,,,,,,,,,,11143,6513,4630,14310,7709,6601,12083,6198,5885,11099,5643,5456,10632,5273,5359,10627,5248,5379,10373,5025,5348,10654,5181,5473
"Buenos Aires","Almirante Brown",4,4,,,,2772,1575,1197,5738,3043,2695,14094,7163,6931,39700,20071,19629,136924,68451,68473,245017,122592,122425,331919,164242,167677,450698,222042,228656,515556,252454,263102,552902,270247,282655
"Buenos Aires",Arrecifes,11,5,4245,2294,1951,6576,3772,2804,8964,5170,3794,20563,12952,7611,29988,18118,11870,27807,14728,13079,19443,9937,9506,22012,11040,10972,24593,12167,12426,27279,13152,14127,29044,13979,15065
"Buenos Aires",Avellaneda,5,6,8003,4561,3442,8244,4462,3782,18574,10078,8496,144739,78005,66734,273839,142680,131159,326531,163759,162772,337538,166345,171193,334145,161084,173061,344991,164243,180748,328980,155450,173530,342677,162264,180413
"Buenos Aires",Ayacucho,6,7,2993,1790,1203,11216,6755,4461,12511,6825,5686,15188,8320,6868,19621,10336,9285,18795,9845,8950,17825,9010,8815,18777,9473,9304,19634,9754,9880,19669,9633,10036,20337,9985,10352
"Buenos Aires",Azul,7,8,7209,4077,3132,16090,9263,6827,23115,10328,12787,32103,16440,15663,44384,22838,21546,47951,24492,23459,50676,25727,24949,56972,28642,28330,62271,30692,31579,62996,30551,32445,65280,31648,33632
"Buenos Aires","Bahía Blanca",8,9,1472,849,623,3201,2055,1146,14238,8468,5770,70269,40612,29657,122059,67108,54951,153631,76672,76959,191624,94852,96772,234047,113042,121005,272191,130801,141390,284776,136799,147977,301572,144648,156924
"Buenos Aires",Balcarce,9,10,4198,2549,1649,4793,2909,1884,8166,4479,3687,19464,11856,7608,30621,16692,13929,37477,20528,16949,33921,17890,16031,39544,20519,19025,41194,20861,20333,42039,20602,21437,43823,21520,22303
"Buenos Aires",Baradero,10,11,4919,2595,2324,7588,4161,3427,12775,7463,5312,17720,10040,7680,19858,10894,8964,20756,10801,9955,21390,10963,10427,26041,13104,12937,28500,14164,14336,29562,14547,15015,32761,16193,16568
"Buenos Aires","Benito Juárez",12,12,1610,1107,503,11155,7094,4061,9318,5295,4023,18069,10462,7607,15678,8423,7255,17303,9559,7744,21072,10981,10091,20847,10599,10248,20350,10130,10220,19443,9567,9876,20239,10239,10000
"Buenos Aires",Berazategui,13,13,,,,,,,,,,,,,,,,,,,127740,65487,62253,201862,101766,100096,244929,120870,124059,287913,141163,146750,324244,158608,165636
"Buenos Aires",Berisso,14,14,,,,,,,,,,,,,,,,49201,20918,20065,58833,29749,29084,66152,32660,33492,74761,36516,38245,80092,38950,41142,88470,43012,45458
"Buenos Aires",Bolívar,15,15,,,,2055,1249,806,9558,5194,4364,25204,14134,11070,36170,18893,17277,33973,17326,16647,33029,16570,16459,33078,16368,16710,32757,15943,16814,32442,15733,16709,34190,16828,17362
"Buenos Aires",Bragado,16,16,6577,3669,2908,11232,6231,5001,15048,8744,6304,25013,14254,10759,35317,18633,16684,33849,17201,16648,34598,17285,17313,38038,18883,19155,40442,19765,20677,40259,19605,20654,41336,20025,21311
"Buenos Aires",Brandsen,28,17,,,,4281,2464,1817,5184,2806,2378,6768,3679,3089,8014,4356,3658,10963,5773,5190,12568,6426,6142,15361,7737,7624,18424,9179,9245,22515,11185,11330,26367,13064,13303
"Buenos Aires",Campana,17,18,,,,,,,7733,4459,3274,15470,8591,6879,17250,8953,8297,30747,15981,14766,44297,22722,21575,57839,29194,28645,71464,35596,35868,83698,41576,42122,94461,47271,47190
"Buenos Aires",Cañuelas,18,19,4749,2505,2244,6085,3144,2941,6722,3516,3206,8413,4415,3998,13507,7336,6171,20055,10713,9342,21430,11236,10194,25391,13025,12366,30900,15580,15320,42575,21255,21320,51892,25920,25972
"Buenos Aires","Capitán Sarmiento",19,20,,,,,,,,,,,,,,,,,,,9479,4947,4532,10326,5192,5134,11392,5710,5682,12854,6273,6581,14494,7058,7436
"Buenos Aires","Carlos Casares",20,21,,,,,,,,,,15143,8565,6578,21169,11216,9953,19209,10111,9098,19324,10043,9281,20104,10260,9844,20126,9989,10137,21125,10393,10732,22237,10856,11381
"Buenos Aires","Carlos Tejedor",21,22,,,,,,,,,,11525,6714,4811,15280,8280,7000,13278,7153,6125,12499,6665,5834,12794,6692,6102,12229,6270,5959,11539,5814,5725,11570,5806,5764
"Buenos Aires","Carmen de Areco",22,23,3815,2030,1785,5783,3182,2601,5866,3045,2821,8498,4541,3957,9632,5357,4275,9765,5172,4593,9900,5158,4742,11031,5665,5366,12581,6363,6218,13992,6948,7044,14692,7328,7364
"Buenos Aires",Castelli,23,24,1655,931,724,2395,1359,1036,3326,1954,1372,4570,2585,1985,6798,3746,3052,6384,3375,3009,6134,3096,3038,6574,3335,3239,7025,3507,3518,7852,3902,3950,8205,3997,4208
"Buenos Aires",Chacabuco,24,25,6234,3529,2705,9760,5664,4096,15692,8999,6693,30357,16644,13713,35759,18999,16760,37079,19043,18036,38110,19391,18719,41108,20562,20546,43650,21516,22134,45445,22137,23308,48703,23690,25013
"Buenos Aires",Chascomús,25,26,9637,5510,4127,11182,5982,5200,13044,7008,6036,16392,8804,7588,21560,11265,10295,24660,12586,12074,25927,13109,12818,29936,14960,14976,35174,17408,17766,38647,18951,19696,42277,20707,21570
"Buenos Aires",Chivilcoy,26,27,14232,7933,6299,17421,9435,7986,30133,17317,12816,35751,18458,17293,45137,22901,22236,48725,24261,24464,50305,24744,25561,54438,26385,28053,57479,27592,29887,60762,29006,31756,64185,30744,33441
"Buenos Aires",Colón,27,28,,,,,,,3522,1914,1608,10015,5828,4187,14573,8256,6317,14884,7741,7143,15643,7941,7702,18350,9236,9114,21192,10467,10725,23179,11285,11894,24890,12109,12781
"Buenos Aires","Coronel de Marina Leonardo Rosales",29,29,,,,,,,,,,,,,24503,12638,11865,43752,24722,19030,54515,32424,22091,59858,33751,26107,59543,30784,28759,60892,30221,30671,62152,30413,31739
"Buenos Aires","Coronel Dorrego",30,30,,,,,,,4914,2993,1921,11582,6794,4788,20471,11283,9188,21147,11358,9789,20844,10832,10012,18667,9475,9192,17741,8738,9003,16522,8068,8454,15825,7701,8124
